id,web_name,team_name,team_short_name,position,price,selected_by_percent,total_points,minutes,goals_scored,assists,form,points_per_game,ict_index,influence,creativity,threat,status,news,chance_of_playing_next_round,availability,opponent,home,fixture_difficulty,fixture_adjustment,base_projection,projected_points,value
181,Brau,Coventry City,COV,DEF,4.0,0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,ARS,False,,1.0,0.0,0.0,0.0
182,Amenda,Coventry City,COV,DEF,4.0,0.6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,ARS,False,,1.0,0.0,0.0,0.0
183,Rudoni,Coventry City,COV,MID,5.0,0.3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,d,Shoulder injury - 75% chance of playing,75.0,0.75,ARS,False,,1.0,0.0,0.0,0.0
184,Grimes,Coventry City,COV,MID,5.0,0.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,ARS,False,,1.0,0.0,0.0,0.0
185,Sakamoto,Coventry City,COV,MID,5.0,0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,ARS,False,,1.0,0.0,0.0,0.0
186,Mason-Clark,Coventry City,COV,MID,5.5,0.3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,ARS,False,,1.0,0.0,0.0,0.0
187,Eccles,Coventry City,COV,MID,5.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,ARS,False,,1.0,0.0,0.0,0.0
188,Torp,Coventry City,COV,MID,5.5,0.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,ARS,False,,1.0,0.0,0.0,0.0
189,Shepherd,Coventry City,COV,MID,4.5,0.3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,ARS,False,,1.0,0.0,0.0,0.0
65,J.Araujo,Bournemouth,BOU,DEF,4.5,0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,i,Thigh injury - Unknown return date,0.0,0.0,MCI,False,,1.0,0.0,0.0,0.0
276,Lo-Tutala,Hull City,HUL,GKP,4.0,0.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,MUN,True,,1.0,0.0,0.0,0.0
277,Egan,Hull City,HUL,DEF,4.0,1.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,MUN,True,,1.0,0.0,0.0,0.0
278,Hughes,Hull City,HUL,DEF,4.0,0.9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,i,Groin injury - Unknown return date,0.0,0.0,MUN,True,,1.0,0.0,0.0,0.0
